id,popularity,vote_count,genre_ids,title,vote_average,datetime
513045,68.158,769,"[28, 35, 80, 53]",Stuber,6.9,2019-07-11
609242,68.06,409,"[35, 80, 18, 53]",The Heist of the Century,8.0,2020-01-16
427641,68.036,4676,"[28, 12, 878]",Rampage,6.4,2018-04-12
606856,67.73899999999999,876,"[12, 18, 36, 10751]",Togo,8.2,2019-12-19
520763,67.706,0,"[18, 878, 53]",A Quiet Place Part II,0.0,2021-04-21
440249,67.65899999999999,118,[99],After Porn Ends 2,5.1,2017-03-28
419704,67.316,4229,"[18, 878]",Ad Astra,6.1,2019-09-17
552687,67.165,18,"[35, 10749]",Wotakoi: Love is Hard for Otaku,6.6,2020-02-07
293660,67.008,23631,"[28, 12, 35]",Deadpool,7.6,2016-02-09
512895,66.973,807,"[35, 10749, 10751]",Lady and the Tramp,7.3,2019-11-12
246655,66.653,9842,"[28, 12, 14, 878]",X-Men: Apocalypse,6.5,2016-05-18
514847,66.598,1396,"[28, 53, 27]",The Hunt,6.6,2020-03-11
599845,66.363,246,"[28, 80]",The Immortal,7.0,2019-12-05
131631,66.285,11931,"[12, 878, 53]",The Hunger Games: Mockingjay - Part 1,6.8,2014-11-19
555974,66.12100000000001,575,"[27, 9648, 53]",Brahms: The Boy II,6.3,2020-02-20
509853,65.706,108,"[80, 53]",The Fanatic,4.2,2019-08-30
674942,65.525,8,"[12, 16, 35, 14, 10751]",Homeward,3.9,2020-02-25
639247,65.52,31,"[27, 53]",Dreamkatcher,6.2,2020-06-24
571785,65.156,137,"[28, 18, 53]",Time to Hunt,7.2,2020-02-22
428078,64.956,2961,"[12, 14]",Mortal Engines,6.1,2018-11-27
